Name,Date of birth,Date of death,Cause of death,Fame,Age,Sources
Andrea Absolonová,"December 26, 1976","December 9, 2004",Glioblastoma,Porn actress,"27 years, 349 days",[42]
Bryan Ottoson,"March 18, 1978","April 19, 2005",Drug overdose,Guitarist of American Head Charge,"27 years, 32 days",[40]
Valentín Elizalde,"February 1, 1979","November 25, 2006",Murder,Mexican banda singer,"27 years, 297 days",[40]
"Damien ""Damo"" Morris","May 22, 1980","December 19, 2007",Bus accident,Member of Australian deathcore band the Red Shore,"27 years, 211 days",[71]
Orish Grinstead,"June 2, 1980","April 20, 2008",Kidney failure,Founding member of the R&B group 702,"27 years, 323 days",[72]
Jade Goody,"June 5, 1981","March 22, 2009",Cervical cancer,Reality-television personality,"27 years, 290 days",[38][73]
Dash Snow,"July 27, 1981","July 13, 2009",Drug overdose,Artist,"27 years, 351 days",[74][75]
Amy Winehouse,"September 14, 1983","July 23, 2011",Alcohol poisoning,Singer-songwriter,"27 years, 312 days",[48]
Richard Turner,"July 30, 1984","August 11, 2011",Aortic rupture,"Trumpet player, collaborator with Friendly Fires","27 years, 12 days",[76]
Nicole Bogner,"March 22, 1984","January 6, 2012",Severe disease,Singer for Visions of Atlantis,"27 years, 290 days",[77]
Sahara Davenport,"December 17, 1984","October 1, 2012",Heart failure,Drag queen,"27 years, 289 days",[78]
Christian Benítez,"May 1, 1986","July 29, 2013",Respiratory failure,Footballer,"27 years, 89 days",[79]
Stuart Baggs,"July 23, 1988","July 30, 2015",Asthma attack,Businessman,"27 years, 7 days",[80]
Tomas Lowe,May-88,"February 13, 2016",Car accident,bassist of Viola Beach,"27 years, 9 months",[81]
Thomas Fekete,"July 1, 1988","May 31, 2016",Cancer,Guitarist of Surfer Blood,"27 years, 335 days",[77]
Anton Yelchin,"March 11, 1989","June 19, 2016",Car accident,"Actor, Chekov in the Star Trek reboot series","27 years, 100 days",[38][82]
Shot,"December 1, 1989","September 21, 2017",Diabetes,Russian rapper,"27 years, 294 days",[83]
Kim Jong-hyun,"April 8, 1990","December 18, 2017",Suicide,Vocalist and lyricist of Shinee,"27 years, 254 days",[84][85]
Fredo Santana,"July 4, 1990","January 19, 2018",Idiopathic epilepsy,American rapper,"27 years, 199 days",[86][87]
Tyler Skaggs,"July 13, 1991","July 1, 2019",Asphyxia due to drug use,American professional baseball starting pitcher,"27 years, 353 days",[88]
Benjamin Keough,"October 21, 1992","July 12, 2020",Suicide,"Elvis Presley's grandson, son of Lisa Marie Presley and brother of Riley Keough","27 years, 265 days",[88]
Murda Killa [ru],"March 9, 1993","July 13, 2020",Asthma attack provoked by the use of alcohol and antidepressants,Russian rapper,"27 years, 127 days",[89]
Yoo Ju-eun [ko],"May 3, 1995","August 29, 2022",Suicide,Korean actress,"27 years, 118 days",[90]
Walkie,"May 24, 1995","September 30, 2022",Suicide,Russian battle rapper,"27 years, 129 days",[91]
Yung Trappa [ru],"August 14, 1995","February 2, 2023",Overdose,Russian rapper,"27 years, 172 days",[92]
Julián Figueroa [es],"May 27, 1995","April 2, 2023",Myocardial infarction and Ventricular fibrillation,"Singer, actor, and composer","27 years, 310 days",[93][94]
MohBad,"January 3, 1996","September 12, 2023",Undetermined,Nigerian rapper,"27 years, 252 days",[95]
Chance Perdomo,"October 19, 1996","March 30, 2024",Motorcycle crash,Actor,"27 years, 163 days",[96][97]
Cole Brings Plenty,1996,"April 5, 2024",TBD,Actor,TBC,[98]
